Odkaz,Zápas,Domácí,Hosté,SkóreFT,SkóreHT,Diváků
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2104_Zapis.html,A1A2104,České Budějovice,Slovácko,2:2,1:0,3621
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2105_Zapis.html,A1A2105,Teplice,Viktoria Žižkov,0:0,0:0,3470
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2106_Zapis.html,A1A2106,Mladá Boleslav,Příbram,2:2,0:1,4483
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2107_Zapis.html,A1A2107,Sigma Olomouc,Slovan Liberec,2:4,1:0,6828
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2108_Zapis.html,A1A2108,Sparta Praha,Baník Ostrava,2:0,0:0,12618
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2201_Zapis.html,A1A2201,Slovácko,Baník Ostrava,1:0,0:0,6355
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2202_Zapis.html,A1A2202,Viktoria Plzeň,České Budějovice,4:0,2:0,6751
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2203_Zapis.html,A1A2203,Hradec Králové,Mladá Boleslav,2:0,1:0,3982
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2204_Zapis.html,A1A2204,Slavia Praha,Sparta Praha,1:1,1:0,16516
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2205_Zapis.html,A1A2205,Viktoria Žižkov,Jablonec,4:2,3:1,1342
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2206_Zapis.html,A1A2206,Slovan Liberec,Bohemians 1905,3:0,1:0,5508
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2207_Zapis.html,A1A2207,Příbram,Dukla Praha,2:2,2:1,1868
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2208_Zapis.html,A1A2208,Teplice,Sigma Olomouc,3:1,0:1,4280
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2301_Zapis.html,A1A2301,Bohemians 1905,Viktoria Žižkov,1:2,1:0,2558
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2302_Zapis.html,A1A2302,Dukla Praha,Slovan Liberec,1:2,0:1,1683
http://www.gambrinusliga.cz/c/kao/000_vysledky/001/001A1A2303_Zapis.html,A1A2303,Jablonec,Slovácko,1:0,0:0,2145
